#,SCORE,FIRSTNAME,LASTNAME,EMAIL,COMPANY,INDUSTRY,CITY,STATE,PHONE
21,12,Amelia,Cooper,team@cobaltwealthpartners.com,Cobalt Wealth Partners,Financial Services,Orlando,Florida,(904) 523-5365
22,12,Joseph,Lopez,office@summitinsurance.com,Summit Insurance,Financial Services,St. Petersburg,Florida,(941) 289-8470
23,12,Kathleen,Mendoza,hello@platinumwealthgroup.com,Platinum Wealth Group,Financial Services,Fort Lauderdale,Florida,(941) 267-2401
24,12,Ryan,Ruiz,office@cornerstonetaxadvisors.com,Cornerstone Tax Advisors,Financial Services,Hollywood,Florida,(321) 364-9335
25,12,Gabriel,Jimenez,hello@crimsonadvisors.com,Crimson Advisors,Financial Services,Boca Raton,Florida,(813) 743-6037
26,12,Oliver,Hall,team@walnutinvestmentpartners.com,Walnut Investment Partners,Financial Services,Sarasota,Florida,(954) 444-1468
27,12,Paul,Flores,team@capitaladvisorypartners.com,Capital Advisory Partners,Financial Services,Fort Myers,Florida,(561) 811-7386
28,12,Oliver,Taylor,office@maplewealthpartners.com,Maple Wealth Partners,Financial Services,Lakeland,Florida,(813) 283-4277
29,12,Jose,Mendoza,hello@anchortaxadvisors.com,Anchor Tax Advisors,Financial Services,Tampa,Florida,(561) 804-6835
30,12,Cameron,Reed,office@compasstaxgroup.com,Compass Tax Group,Financial Services,St. Petersburg,Florida,(941) 368-8763
31,12,Helen,Collins,hello@compasswealthmanagement.com,Compass Wealth Management,Financial Services,Fort Lauderdale,Florida,(561) 448-9768
32,12,George,Baker,team@vanguardwealthmanagement.com,Vanguard Wealth Management,Financial Services,Pembroke Pines,Florida,(813) 692-7553
33,12,Scarlett,Vargas,team@patriotfinancialadvisors.com,Patriot Financial Advisors,Financial Services,Sarasota,Florida,(321) 720-2799
34,12,Ryan,Baker,office@summitcapital.com,Summit Capital,Financial Services,Naples,Florida,(954) 135-8196
35,12,Margaret,Martin,hello@compassfinancialadvisors.com,Compass Financial Advisors,Financial Services,Cape Coral,Florida,(561) 419-8722
36,12,Wyatt,Torres,office@marbleadvisors.com,Marble Advisors,Financial Services,Lakeland,Florida,(954) 674-6854
37,12,Fatima,Watson,hello@landmarkadvisorypartners.com,Landmark Advisory Partners,Financial Services,Tampa,Florida,(941) 885-3802
38,12,Abigail,Cooper,team@crimsoninsurance.com,Crimson Insurance,Financial Services,Orlando,Florida,(941) 648-3868
39,12,Peter,Stewart,team@sentinelcapitalpartners.com,Sentinel Capital Partners,Financial Services,Pembroke Pines,Florida,(941) 580-2806
40,12,Savannah,White,office@sentineladvisorypartners.com,Sentinel Advisory Partners,Financial Services,Hollywood,Florida,(305) 691-3597
41,12,Eric,Davis,team@cornerstonetaxgroup.com,Cornerstone Tax Group,Financial Services,Savannah,Georgia,(229) 831-6443
42,12,Paul,Sanders,office@redwoodwealthadvisors.com,Redwood Wealth Advisors,Financial Services,Athens,Georgia,(404) 682-5020
43,12,Margaret,Thomas,hello@magnoliacpagroup.com,Magnolia CPA Group,Financial Services,Roswell,Georgia,(404) 151-2560
44,12,Oliver,Evans,office@cypressinsurance.com,Cypress Insurance,Financial Services,Albany,Georgia,(478) 659-6923
45,12,Gloria,Munoz,hello@cobaltaccounting.com,Cobalt Accounting,Financial Services,Johns Creek,Georgia,(229) 424-3640
46,12,Aisha,Phillips,team@sapphirecapitalpartners.com,Sapphire Capital Partners,Financial Services,Alpharetta,Georgia,(770) 406-2267
47,12,Caleb,Parker,team@platinumfinancial.com,Platinum Financial,Financial Services,Savannah,Georgia,(478) 772-3177
48,12,Donald,Sanchez,office@apexfinancialplanning.com,Apex Financial Planning,Financial Services,Athens,Georgia,(404) 133-3005
49,12,Olivia,Walker,hello@sequoiaadvisorypartners.com,Sequoia Advisory Partners,Financial Services,Roswell,Georgia,(478) 303-5061
50,12,Joshua,Mitchell,office@emeraldtaxaccounting.com,Emerald Tax & Accounting,Financial Services,Albany,Georgia,(770) 319-2142
51,12,Samuel,Chen,hello@heritagefinancial.com,Heritage Financial,Financial Services,Johns Creek,Georgia,(678) 805-4952
52,12,Savannah,Castro,team@landmarkadvisors.com,Landmark Advisors,Financial Services,Alpharetta,Georgia,(912) 133-8035
53,12,Audrey,Vargas,team@pinnaclefinancial.com,Pinnacle Financial,Financial Services,Savannah,Georgia,(229) 754-7432
54,12,Joyce,Webb,office@meridiantaxaccounting.com,Meridian Tax & Accounting,Financial Services,Athens,Georgia,(770) 382-7826
55,12,Joseph,Munoz,hello@libertycapital.com,Liberty Capital,Financial Services,Roswell,Georgia,(229) 160-2584
56,12,Jason,Jones,office@cypressadvisors.com,Cypress Advisors,Financial Services,Albany,Georgia,(706) 288-4859
57,12,Derrick,Mendoza,hello@landmarkcpagroup.com,Landmark CPA Group,Financial Services,Johns Creek,Georgia,(478) 106-8718
58,12,Brenda,Rivera,team@libertywealthadvisors.com,Liberty Wealth Advisors,Financial Services,Alpharetta,Georgia,(404) 870-2234
59,12,Jackson,Davis,team@pinnaclecpagroup.com,Pinnacle CPA Group,Financial Services,Savannah,Georgia,(404) 405-5500
60,12,Sebastian,Sanders,office@libertyinsurance.com,Liberty Insurance,Financial Services,Athens,Georgia,(478) 265-9609
61,12,Gerald,Williams,team@cobaltcpagroup.com,Cobalt CPA Group,Financial Services,Joliet,Illinois,(708) 407-4844
62,12,Margaret,Tran,office@titaniuminvestmentpartners.com,Titanium Investment Partners,Financial Services,Naperville,Illinois,(224) 816-3596
63,12,Muhammad,Vargas,hello@oakwealthpartners.com,Oak Wealth Partners,Financial Services,Elgin,Illinois,(815) 259-4971
64,12,Paul,Walsh,office@sequoiataxadvisors.com,Sequoia Tax Advisors,Financial Services,Champaign,Illinois,(224) 504-4392
65,12,Liam,Martinez,hello@atlantictaxadvisors.com,Atlantic Tax Advisors,Financial Services,Bloomington,Illinois,(217) 885-1322
66,12,Naomi,Hughes,team@onyxfinancial.com,Onyx Financial,Financial Services,Schaumburg,Illinois,(773) 503-6734
67,12,Stephanie,Tran,team@anchorwealthgroup.com,Anchor Wealth Group,Financial Services,Naperville,Illinois,(224) 729-2109
68,12,Sean,Price,office@horizontaxaccounting.com,Horizon Tax & Accounting,Financial Services,Springfield,Illinois,(312) 802-1155
69,12,Marco,Edwards,hello@sequoiafinancialplanning.com,Sequoia Financial Planning,Financial Services,Waukegan,Illinois,(847) 388-4786
70,12,Nina,Ruiz,office@titaniumadvisorypartners.com,Titanium Advisory Partners,Financial Services,Decatur,Illinois,(618) 548-6379
71,12,Mei,Thomas,hello@capitaltaxgroup.com,Capital Tax Group,Financial Services,Schaumburg,Illinois,(847) 292-6803
72,12,Christopher,Long,team@sterlingwealthadvisors.com,Sterling Wealth Advisors,Financial Services,Chicago,Illinois,(217) 879-6440
73,12,Christopher,Walsh,team@platinumwealthadvisors.com,Platinum Wealth Advisors,Financial Services,Springfield,Illinois,(618) 333-1280
74,12,Julian,Mitchell,office@sterlingcapital.com,Sterling Capital,Financial Services,Peoria,Illinois,(217) 540-4277
75,12,Andre,Kelly,hello@onyxinvestmentpartners.com,Onyx Investment Partners,Financial Services,Champaign,Illinois,(847) 792-8967
76,12,Madison,Foster,office@maplefinancial.com,Maple Financial,Financial Services,Evanston,Illinois,(224) 654-4442
77,12,Joan,Davis,hello@northstartaxgroup.com,Northstar Tax Group,Financial Services,Chicago,Illinois,(708) 582-3351
78,12,Gabriel,Miller,team@vanguardcapital.com,Vanguard Capital,Financial Services,Aurora,Illinois,(312) 257-6576
79,12,Christopher,Baker,team@marblewealthpartners.com,Marble Wealth Partners,Financial Services,Peoria,Illinois,(312) 735-7621
80,12,Dorothy,Alvarez,office@granitecapitalpartners.com,Granite Capital Partners,Financial Services,Elgin,Illinois,(217) 222-3969
81,12,Megan,Taylor,team@elmaccounting.com,Elm Accounting,Financial Services,Sterling Heights,Michigan,(734) 857-9545
82,12,Judith,Thomas,office@anchoradvisors.com,Anchor Advisors,Financial Services,Ann Arbor,Michigan,(231) 252-1368
83,12,Jonathan,Nakamura,hello@cypresscapital.com,Cypress Capital,Financial Services,Dearborn,Michigan,(313) 776-3367
84,12,Mateo,Castro,office@dogwoodadvisors.com,Dogwood Advisors,Financial Services,Kalamazoo,Michigan,(810) 517-3985
85,12,Thomas,Robinson,hello@beaconcapitalpartners.com,Beacon Capital Partners,Financial Services,Clinton Township,Michigan,(810) 226-1992
86,12,Eric,Roberts,team@chestnutadvisors.com,Chestnut Advisors,Financial Services,Detroit,Michigan,(313) 598-1171
87,12,Thomas,Garcia,team@onyxwealthpartners.com,Onyx Wealth Partners,Financial Services,Lansing,Michigan,(313) 443-9955
88,12,Ashley,Allen,office@ironsideadvisorypartners.com,Ironside Advisory Partners,Financial Services,Flint,Michigan,(734) 409-9448
89,12,Timothy,Okafor,hello@oakinsurance.com,Oak Insurance,Financial Services,Kalamazoo,Michigan,(616) 494-1106
90,12,Matthew,Myers,office@platinumfinancialgroup.com,Platinum Financial Group,Financial Services,Westland,Michigan,(248) 865-2729
91,12,Amy,Gomez,hello@elmcapital.com,Elm Capital,Financial Services,Grand Rapids,Michigan,(517) 172-3751
92,12,Nina,Vargas,team@titaniumfinancial.com,Titanium Financial,Financial Services,Warren,Michigan,(616) 502-5443
93,12,Andrew,Rivera,team@northstaraccounting.com,Northstar Accounting,Financial Services,Dearborn,Michigan,(734) 745-9114
94,12,Naomi,Nelson,office@pinnacleaccounting.com,Pinnacle Accounting,Financial Services,Livonia,Michigan,(248) 825-6736
95,12,Andrea,Green,hello@cypresstaxaccounting.com,Cypress Tax & Accounting,Financial Services,Westland,Michigan,(616) 785-8476
96,12,Matthew,Scott,office@sequoiataxgroup.com,Sequoia Tax Group,Financial Services,Detroit,Michigan,(517) 740-3219
97,12,Emily,Taylor,hello@atlanticfinancial.com,Atlantic Financial,Financial Services,Sterling Heights,Michigan,(517) 286-5460
98,12,Logan,Chen,team@sapphirefinancialplanning.com,Sapphire Financial Planning,Financial Services,Ann Arbor,Michigan,(810) 642-1679
99,12,Chloe,Vasquez,team@keystonefinancial.com,Keystone Financial,Financial Services,Kalamazoo,Michigan,(616) 613-1207
100,12,Sandra,Collins,office@northstarwealthpartners.com,Northstar Wealth Partners,Financial Services,Troy,Michigan,(313) 827-6951
